time/fps,time/total_timesteps,time/episodes,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
115,160,4,1,0.0,-24.398423750000003,40.0,,,,,,,,,
120,320,8,2,0.0,-23.215084125,40.0,,,,,,,,,
123,480,12,3,0.0,-23.785418333333336,40.0,,,,,,,,,
124,640,16,5,0.0,-23.22052075,40.0,,,,,,,,,
125,800,20,6,0.0,-23.02958885,40.0,,,,,,,,,
127,960,24,7,0.0,-23.207361958333337,40.0,,,,,,,,,
111,1120,28,10,0.0,-22.840504464285715,40.0,0.9651748538017273,-0.23807579278945923,0.0003,119,0.08495905995368958,-5.022200107574463,,,
97,1280,32,13,0.0,-23.0933079375,40.0,0.9199199676513672,-0.5593056082725525,0.0003,279,0.06517588347196579,-5.857097625732422,,,
88,1440,36,16,0.0,-23.06588497222222,40.0,0.8767940402030945,-0.8859732151031494,0.0003,439,0.028215507045388222,-6.769169330596924,,,
82,1600,40,19,0.0,-23.01125825,40.0,0.8356837034225464,-1.2100931406021118,0.0003,599,0.0285135917365551,-7.647097587585449,,,
78,1760,44,22,0.0,-23.03805690909091,40.0,0.7964954972267151,-1.5350048542022705,0.0003,759,0.023747891187667847,-8.50733470916748,,,
74,1920,48,25,0.0,-23.1832705625,40.0,0.7591524124145508,-1.8605093955993652,0.0003,919,0.032856687903404236,-9.354843139648438,,,
72,2080,52,28,0.0,-23.036103865384618,40.0,0.7235651612281799,-2.183992862701416,0.0003,1079,0.05471242591738701,-10.17491340637207,,,
69,2240,56,32,0.0,-23.240647,40.0,0.6896443367004395,-2.4913382530212402,0.0003,1239,0.0321304127573967,-10.859123229980469,,,
68,2400,60,35,0.0,-23.212064783333332,40.0,0.6573166847229004,-2.82936429977417,0.0003,1399,0.020433329045772552,-11.547163963317871,,,
,2500,,,,,,0.6378927230834961,-3.0446481704711914,0.0003,1499,0.02684495970606804,-12.01451587677002,-23.2683052,40.0,0.0
60,2560,64,42,0.0,-23.219427062499996,40.0,0.6265119314193726,-3.153229236602783,0.0003,1559,0.020516209304332733,-12.215473175048828,,,
59,2720,68,45,0.0,-23.16031024999999,40.0,0.5971422791481018,-3.4682998657226562,0.0003,1719,0.020065099000930786,-12.789087295532227,,,
59,2880,72,48,0.0,-23.373502305555558,40.0,0.569153368473053,-3.7973177433013916,0.0003,1879,0.017521722242236137,-13.304190635681152,,,
58,3040,76,52,0.0,-23.391170171052636,40.0,0.5424732565879822,-4.119594573974609,0.0003,2039,0.02184188738465309,-13.858551025390625,,,
57,3200,80,55,0.0,-23.469561125000002,40.0,0.5170413851737976,-4.43395471572876,0.0003,2199,0.01846720650792122,-14.175664901733398,,,
57,3360,84,58,0.0,-23.46656148809524,40.0,0.4928092956542969,-4.775668144226074,0.0003,2359,0.014556588605046272,-14.552140235900879,,,
57,3520,88,61,0.0,-23.327994420454544,40.0,0.46971017122268677,-5.096635818481445,0.0003,2519,0.01612786576151848,-14.874493598937988,,,
56,3680,92,64,0.0,-23.366714684782604,40.0,0.44769784808158875,-5.415536403656006,0.0003,2679,0.021211987361311913,-15.153047561645508,,,
56,3840,96,68,0.0,-23.552205677083332,40.0,0.42671915888786316,-5.740910530090332,0.0003,2839,0.018401890993118286,-15.36866569519043,,,
55,4000,100,71,0.0,-23.55785441,40.0,0.4067189395427704,-6.059267044067383,0.0003,2999,0.017502840608358383,-15.593557357788086,,,
55,4160,104,74,0.0,-23.523609130000004,40.0,0.38766050338745117,-6.377019882202148,0.0003,3159,0.012806451879441738,-15.622452735900879,,,
55,4320,108,78,0.0,-23.68765959,40.0,0.3694900870323181,-6.697045803070068,0.0003,3319,0.017042092978954315,-15.817041397094727,,,
54,4480,112,81,0.0,-23.55228365,40.0,0.3521718680858612,-7.030287265777588,0.0003,3479,0.01492186076939106,-15.977567672729492,,,
54,4640,116,84,0.0,-23.730965349999998,40.0,0.3356691002845764,-7.346185207366943,0.0003,3639,0.014847565442323685,-15.938612937927246,,,
54,4800,120,87,0.0,-23.895284669999995,40.0,0.3199385404586792,-7.710351943969727,0.0003,3799,0.015093435533344746,-15.88585090637207,,,
54,4960,124,91,0.0,-23.91498678,40.0,0.30494213104248047,-7.975266933441162,0.0003,3959,0.013069392181932926,-15.87369441986084,,,
,5000,,,,,,0.30130353569984436,-8.056208610534668,0.0003,3999,0.014889413490891457,-15.887080192565918,-23.0802763,40.0,0.0
52,5120,128,98,0.0,-23.94535243,40.0,0.29064998030662537,-8.312752723693848,0.0003,4119,0.012960830703377724,-15.728517532348633,,,
52,5280,132,101,0.0,-23.98756056,40.0,0.27702581882476807,-8.629664421081543,0.0003,4279,0.01469598151743412,-15.672651290893555,,,
52,5440,136,104,0.0,-24.104575169999997,40.0,0.2640424966812134,-8.954846382141113,0.0003,4439,0.013217313215136528,-15.7174072265625,,,
51,5600,140,107,0.0,-24.102754130000005,40.0,0.25167161226272583,-9.293336868286133,0.0003,4599,0.012259505689144135,-15.439705848693848,,,
51,5760,144,110,0.0,-24.265967930000002,40.0,0.2398737072944641,-9.644421577453613,0.0003,4759,0.01460186205804348,-15.225654602050781,,,
51,5920,148,113,0.0,-24.217658670000002,40.0,0.228631392121315,-9.977632522583008,0.0003,4919,0.014451052062213421,-15.022395133972168,,,
