rollout/ep_len_mean,time/fps,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,train/learning_rate,train/n_updates,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_ep_length,eval/success_rate,eval/mean_reward
24.0,64,1,4,96,-13.80797025,0.0,,,,,,,,,
24.0,67,2,8,192,-13.22674,0.0,,,,,,,,,
24.0,70,4,12,288,-13.694825416666667,0.0,,,,,,,,,
24.0,71,5,16,384,-13.3894826875,0.0,,,,,,,,,
24.0,73,6,20,480,-13.323990999999998,0.0,,,,,,,,,
24.0,73,7,24,576,-13.441224416666666,0.0,,,,,,,,,
24.0,73,9,28,672,-13.2735445,0.0,,,,,,,,,
24.0,75,10,32,768,-13.428849562500002,0.0,,,,,,,,,
24.0,75,11,36,864,-13.455328416666667,0.0,,,,,,,,,
24.0,76,12,40,960,-13.418520599999999,0.0,,,,,,,,,
24.0,71,14,44,1056,-13.445997522727271,0.0,0.0003,55,-0.10941411554813385,0.6575722098350525,-4.0955681800842285,0.9839028716087341,,,
24.0,65,17,48,1152,-13.548454645833337,0.0,0.0003,151,-0.3025992810726166,0.07937122136354446,-5.201761245727539,0.9559462070465088,,,
24.0,61,20,52,1248,-13.428976500000003,0.0,0.0003,247,-0.4968470335006714,0.07732628285884857,-5.7139129638671875,0.9287962913513184,,,
24.0,58,23,56,1344,-13.545346517857142,0.0,0.0003,343,-0.6882354617118835,0.04969955235719681,-6.228025436401367,0.9024192094802856,,,
24.0,56,25,60,1440,-13.576555766666667,0.0,0.0003,439,-0.8857860565185547,0.032343540340662,-6.787628650665283,0.8767932057380676,,,
24.0,54,28,64,1536,-13.595171,0.0,0.0003,535,-1.0788676738739014,0.03966196998953819,-7.339858055114746,0.8518918752670288,,,
24.0,52,31,68,1632,-13.55206267647059,0.0,0.0003,631,-1.2714686393737793,0.05544686317443848,-7.8724751472473145,0.8276939988136292,,,
24.0,51,33,72,1728,-13.693623458333333,0.0,0.0003,727,-1.4641234874725342,0.0262917410582304,-8.38753890991211,0.804184079170227,,,
24.0,49,36,76,1824,-13.671260315789473,0.0,0.0003,823,-1.66209077835083,0.02888774499297142,-8.905990600585938,0.7813437581062317,,,
24.0,48,39,80,1920,-13.7199419,0.0,0.0003,919,-1.8602834939956665,0.03235494717955589,-9.424814224243164,0.759152352809906,,,
,,,,2000,,,0.0003,999,-2.0225870609283447,0.030930647626519203,-9.832070350646973,0.7411479353904724,24.0,0.0,-13.3079528
24.0,43,46,84,2016,-13.729150642857142,0.0,0.0003,1015,-2.0492172241210938,0.022125717252492905,-9.910760879516602,0.7375958561897278,,,
24.0,42,49,88,2112,-13.628287590909089,0.0,0.0003,1111,-2.241823196411133,0.03131529688835144,-10.367079734802246,0.7166473269462585,,,
24.0,42,52,92,2208,-13.653477815217393,0.0,0.0003,1207,-2.427948236465454,0.02307557500898838,-10.813467025756836,0.696295976638794,,,
24.0,41,55,96,2304,-13.751172458333334,0.0,0.0003,1303,-2.6274449825286865,0.06357310712337494,-11.2861328125,0.6765283942222595,,,
24.0,41,58,100,2400,-13.758634610000001,0.0,0.0003,1399,-2.8297173976898193,0.021353505551815033,-11.66067886352539,0.6573163866996765,,,
24.0,41,60,104,2496,-13.75352934,0.0,0.0003,1495,-3.0197081565856934,0.02165188640356064,-12.0731201171875,0.6386580467224121,,,
24.0,40,63,108,2592,-13.85134138,0.0,0.0003,1591,-3.2191803455352783,0.025616489350795746,-12.442956924438477,0.620525062084198,,,
24.0,40,65,112,2688,-13.784929030000002,0.0,0.0003,1687,-3.3985493183135986,0.02017231658101082,-12.767095565795898,0.6029027104377747,,,
24.0,40,68,116,2784,-13.89932344,0.0,0.0003,1783,-3.60935640335083,0.030189305543899536,-13.164857864379883,0.5857850313186646,,,
24.0,40,71,120,2880,-13.983696860000002,0.0,0.0003,1879,-3.797638177871704,0.017855588346719742,-13.39946174621582,0.5691525340080261,,,
24.0,40,74,124,2976,-14.007920080000003,0.0,0.0003,1975,-3.989896535873413,0.018047958612442017,-13.678909301757812,0.5529900193214417,,,
24.0,40,76,128,3072,-14.016309180000002,0.0,0.0003,2071,-4.193782806396484,0.021221468225121498,-14.011065483093262,0.5372886061668396,,,
24.0,40,79,132,3168,-14.020664359999998,0.0,0.0003,2167,-4.377527713775635,0.019340675324201584,-14.301328659057617,0.5220296382904053,,,
24.0,39,82,136,3264,-14.07893912,0.0,0.0003,2263,-4.557414531707764,0.018364153802394867,-14.447463989257812,0.5072081685066223,,,
24.0,39,85,140,3360,-14.100098229999999,0.0,0.0003,2359,-4.777531623840332,0.015154555439949036,-14.596284866333008,0.4928082227706909,,,
24.0,39,88,144,3456,-14.17421443,0.0,0.0003,2455,-4.976362705230713,0.01814439706504345,-14.875608444213867,0.4788174629211426,,,
24.0,38,91,148,3552,-14.136042620000003,0.0,0.0003,2551,-5.162177085876465,0.01620187796652317,-15.038851737976074,0.4652193784713745,,,
24.0,38,93,152,3648,-14.208221119999997,0.0,0.0003,2647,-5.3518595695495605,0.016083449125289917,-15.208732604980469,0.45201602578163147,,,
24.0,38,96,156,3744,-14.33366832,0.0,0.0003,2743,-5.546736717224121,0.017356112599372864,-15.357892990112305,0.4391850233078003,,,
24.0,38,98,160,3840,-14.309601090000001,0.0,0.0003,2839,-5.742116928100586,0.01645652949810028,-15.382925987243652,0.426717609167099,,,
24.0,38,101,164,3936,-14.297754319999997,0.0,0.0003,2935,-5.909023284912109,0.020598258823156357,-15.592203140258789,0.4146011769771576,,,
,,,,4000,,,0.0003,2999,-6.058587074279785,0.020230546593666077,-15.749140739440918,0.4067171812057495,24.0,0.0,-13.271178
24.0,37,106,168,4032,-14.47994818,0.0,0.0003,3031,-6.099399566650391,0.013970280066132545,-15.647445678710938,0.40283310413360596,,,
24.0,37,109,172,4128,-14.368512160000002,0.0,0.0003,3127,-6.319341659545898,0.018491309136152267,-15.613202095031738,0.39139920473098755,,,
24.0,37,112,176,4224,-14.41218576,0.0,0.0003,3223,-6.492938995361328,0.015991218388080597,-15.83685302734375,0.3802880048751831,,,
24.0,37,115,180,4320,-14.408385370000001,0.0,0.0003,3319,-6.700390338897705,0.01641383394598961,-15.936009407043457,0.36948785185813904,,,
24.0,37,118,184,4416,-14.34211698,0.0,0.0003,3415,-6.88873815536499,0.020026780664920807,-15.872979164123535,0.3590002954006195,,,
24.0,37,121,188,4512,-14.39620677,0.0,0.0003,3511,-7.101053237915039,0.01773650199174881,-15.938247680664062,0.34880688786506653,,,
24.0,37,124,192,4608,-14.456024980000002,0.0,0.0003,3607,-7.2839860916137695,0.014702385291457176,-16.125106811523438,0.33890628814697266,,,
