rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,rollout/success_rate,time/fps,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/actor_loss,train/n_updates
-9.257508,16.0,64,4,1,0.0,63,,,,,,,,,
-8.814648875,16.0,128,8,2,0.0,50,,,,,,,,,
-9.083323833333333,16.0,192,12,4,0.0,42,,,,,,,,,
-8.908122625,16.0,256,16,6,0.0,38,,,,,,,,,
-8.8414718,16.0,320,20,8,0.0,36,,,,,,,,,
-8.91439475,16.0,384,24,11,0.0,34,,,,,,,,,
-8.812843428571428,16.0,448,28,13,0.0,34,,,,,,,,,
-8.885167062499999,16.0,512,32,15,0.0,33,,,,,,,,,
-8.900358277777777,16.0,576,36,17,0.0,33,,,,,,,,,
-8.888665225,16.0,640,40,19,0.0,33,,,,,,,,,
-8.89063659090909,16.0,704,44,21,0.0,33,,,,,,,,,
-8.926534208333333,16.0,768,48,23,0.0,33,,,,,,,,,
-8.870008,16.0,832,52,25,0.0,32,,,,,,,,,
-8.926948446428572,16.0,896,56,27,0.0,32,,,,,,,,,
-8.923354616666666,16.0,960,60,29,0.0,32,,,,,,,,,
,,1000,,,,,-8.834271300000001,0.0,16.0,,,,,,
-8.94485221875,16.0,1024,64,35,0.0,29,,,,2.987748622894287,-0.044563423842191696,0.9934139251708984,0.0003,-3.1449568271636963,23
-8.913835647058825,16.0,1088,68,37,0.0,28,,,,0.09179384261369705,-0.17380468547344208,0.9744901657104492,0.0003,-5.01786470413208,87
-9.005404583333334,16.0,1152,72,40,0.0,28,,,,0.0799373984336853,-0.30264973640441895,0.9559459686279297,0.0003,-5.212637901306152,151
-9.004169947368421,16.0,1216,76,42,0.0,28,,,,0.08216774463653564,-0.4332287013530731,0.9377604126930237,0.0003,-5.559952735900879,215
-9.0401754125,16.0,1280,80,45,0.0,28,,,,0.06227181851863861,-0.5592085719108582,0.9199185371398926,0.0003,-5.878230094909668,279
-9.04312294047619,16.0,1344,84,47,0.0,28,,,,0.04845961183309555,-0.6880494356155396,0.9024195075035095,0.0003,-6.221264839172363,343
-8.980955477272728,16.0,1408,88,50,0.0,28,,,,0.04035823047161102,-0.8224724531173706,0.8852522969245911,0.0003,-6.615594863891602,407
-8.994354543478261,16.0,1472,92,52,0.0,28,,,,0.028454896062612534,-0.9491786360740662,0.8684120178222656,0.0003,-6.940916061401367,471
-9.068263145833335,16.0,1536,96,55,0.0,27,,,,0.03957502916455269,-1.0792453289031982,0.8518919944763184,0.0003,-7.307772159576416,535
-9.081814560000002,16.0,1600,100,57,0.0,27,,,,0.027860324829816818,-1.2096649408340454,0.8356829881668091,0.0003,-7.642517566680908,599
-9.07302258,16.0,1664,104,60,0.0,27,,,,0.03711818531155586,-1.3428537845611572,0.8197876214981079,0.0003,-8.014154434204102,663
-9.13860114,16.0,1728,108,62,0.0,27,,,,0.026315029710531235,-1.4640116691589355,0.8041847348213196,0.0003,-8.359692573547363,727
-9.098802769999999,16.0,1792,112,65,0.0,27,,,,0.035774797201156616,-1.6039763689041138,0.7888842821121216,0.0003,-8.721882820129395,791
-9.172271339999998,16.0,1856,116,67,0.0,27,,,,0.027520574629306793,-1.7221858501434326,0.7738733291625977,0.0003,-9.028749465942383,855
-9.23428396,16.0,1920,120,70,0.0,27,,,,0.031180839985609055,-1.8600316047668457,0.7591522336006165,0.0003,-9.367114067077637,919
-9.24896716,16.0,1984,124,73,0.0,27,,,,0.038571618497371674,-1.9942082166671753,0.7447159886360168,0.0003,-9.709244728088379,983
,,2000,,,,,-8.884863300000001,0.0,16.0,0.03205317258834839,-2.02266788482666,0.7411481738090515,0.0003,-9.766695976257324,999
