time/episodes,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length,eval/success_rate,train/critic_loss,train/ent_coef,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss
4,64,1,0.0,-6.86739375,32,16.0,,,,,,,,,
8,128,3,0.0,-6.563796125,34,16.0,,,,,,,,,
12,192,5,0.0,-7.2015641666666665,35,16.0,,,,,,,,,
16,256,7,0.0,-6.996009062500001,34,16.0,,,,,,,,,
20,320,9,0.0,-6.965699250000002,35,16.0,,,,,,,,,
24,384,10,0.0,-6.909984708333333,35,16.0,,,,,,,,,
28,448,12,0.0,-6.830782571428571,36,16.0,,,,,,,,,
32,512,13,0.0,-6.86775209375,36,16.0,,,,,,,,,
36,576,15,0.0,-6.916196583333334,37,16.0,,,,,,,,,
40,640,17,0.0,-6.857699524999999,37,16.0,,,,,,,,,
44,704,18,0.0,-6.857439840909091,37,16.0,,,,,,,,,
48,768,20,0.0,-6.891188666666667,37,16.0,,,,,,,,,
52,832,22,0.0,-6.828868019230769,37,16.0,,,,,,,,,
56,896,23,0.0,-7.048168535714285,37,16.0,,,,,,,,,
60,960,25,0.0,-7.0275093166666665,37,16.0,,,,,,,,,
,1000,,,,,,-6.4387524,16.0,0.0,,,,,,
64,1024,30,0.0,-6.9902963125,33,16.0,,,,3.343383550643921,0.9934142231941223,23,0.0003,-0.044552069157361984,-3.1724207401275635
68,1088,32,0.0,-6.988614411764706,33,16.0,,,,0.10103332251310349,0.9744928479194641,87,0.0003,-0.17381536960601807,-5.150174617767334
72,1152,35,0.0,-7.050969055555556,32,16.0,,,,0.09386907517910004,0.9559493064880371,151,0.0003,-0.3024948239326477,-5.3609700202941895
76,1216,37,0.0,-7.092726171052633,32,16.0,,,,0.07721017301082611,0.9377639293670654,215,0.0003,-0.433227002620697,-5.741652011871338
80,1280,40,0.0,-7.19742085,31,16.0,,,,0.07051762193441391,0.9199214577674866,279,0.0003,-0.5592151284217834,-6.091835975646973
84,1344,43,0.0,-7.2852762261904775,31,16.0,,,,0.04945177957415581,0.9024214744567871,343,0.0003,-0.6882050037384033,-6.482907295227051
88,1408,45,0.0,-7.240864568181817,30,16.0,,,,0.044147882610559464,0.8852543830871582,407,0.0003,-0.8220973610877991,-6.903471946716309
