rollout/success_rate,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,eval/success_rate,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,train/ent_coef
0.0,12.506898499999998,23,4,80,20.0,3,,,,,,,,,
0.0,9.631606499999998,19,8,160,20.0,8,,,,,,,,,
0.0,3.5636653333333324,18,12,240,20.0,13,,,,,,,,,
0.0,0.6003711249999998,17,16,320,20.0,18,,,,,,,,,
0.0,-0.01772335000000016,16,20,400,20.0,23,,,,,,,,,
0.0,1.0384443749999999,16,24,480,20.0,29,,,,,,,,,
0.0,1.0006891428571427,16,28,560,20.0,34,,,,,,,,,
0.0,-1.2233728124999999,15,32,640,20.0,40,,,,,,,,,
0.0,-0.040655833333333016,15,36,720,20.0,45,,,,,,,,,
0.0,-0.2734618249999999,15,40,800,20.0,50,,,,,,,,,
0.0,-0.4433887727272726,15,44,880,20.0,55,,,,,,,,,
0.0,-1.0594594166666667,15,48,960,20.0,60,,,,,,,,,
,,,,1000,,,0.0,-4.6709133000000005,20.0,,,,,,
0.0,-1.5114003653846155,13,52,1040,20.0,74,,,,-3.588320255279541,0.0003,39,17.121950149536133,-0.07669396698474884,0.9886466860771179
0.017857142857142856,-1.2656426071428568,14,56,1108,19.785714285714285,79,,,,-6.7077813148498535,0.0003,107,7.266891002655029,-0.21064481139183044,0.9686807990074158
0.03333333333333333,-0.7609665333333331,14,60,1177,19.616666666666667,83,,,,-7.071161270141602,0.0003,176,4.2592878341674805,-0.33117973804473877,0.9492566585540771
0.046875,-0.28410640624999983,14,64,1243,19.421875,87,,,,-7.506803035736084,0.0003,242,3.931462526321411,-0.45188575983047485,0.9312763810157776
0.058823529411764705,0.04928283823529431,14,68,1309,19.25,91,,,,-7.933981418609619,0.0003,308,2.3735272884368896,-0.5910673141479492,0.9133628010749817
0.05555555555555555,-0.509831375,14,72,1389,19.291666666666668,96,,,,-8.429218292236328,0.0003,388,1.6084158420562744,-0.7418391108512878,0.8918277621269226
0.06578947368421052,0.7131509868421052,14,76,1460,19.210526315789473,100,,,,-9.26262092590332,0.0003,459,1.3848469257354736,-0.8711456060409546,0.8731096982955933
0.075,1.4098815375,14,80,1526,19.075,105,,,,-9.785154342651367,0.0003,525,2.0153136253356934,-0.9858691692352295,0.8561538457870483
0.07142857142857142,2.775937285714286,14,84,1606,19.11904761904762,110,,,,-10.209144592285156,0.0003,605,2.195552110671997,-1.1417324542999268,0.836138129234314
0.07954545454545454,4.5462931931818185,14,88,1673,19.011363636363637,115,,,,-11.322102546691895,0.0003,672,3.136221408843994,-1.2327017784118652,0.8198137879371643
0.08695652173913043,5.73371975,14,92,1742,18.934782608695652,119,,,,-12.292588233947754,0.0003,741,3.425354480743408,-1.3896431922912598,0.8034570217132568
0.10416666666666667,6.000529802083332,14,96,1795,18.697916666666668,123,,,,-12.951972961425781,0.0003,794,3.8819103240966797,-1.4602949619293213,0.7911224961280823
0.13,7.856217169999999,14,100,1842,18.42,127,,,,-13.491889953613281,0.0003,841,4.541831970214844,-1.5421814918518066,0.7803672552108765
0.13,8.728873510000001,14,104,1922,18.42,132,,,,-13.881793022155762,0.0003,921,5.218725204467773,-1.6177213191986084,0.7625938057899475
0.14,9.96668177,14,108,1985,18.25,137,,,,-14.927133560180664,0.0003,984,7.159555435180664,-1.645451545715332,0.7491103410720825
,,,,2000,,,0.0,68.1587143,20.0,-15.224096298217773,0.0003,999,7.438138961791992,-1.7559248208999634,0.7460240721702576
0.16,13.157739670000003,13,112,2052,18.12,154,,,,-16.2752685546875,0.0003,1051,7.702495574951172,-1.81648850440979,0.7351692914962769
0.16,14.0732076,13,116,2132,18.12,159,,,,-16.516523361206055,0.0003,1131,7.464484691619873,-1.8776437044143677,0.7191348671913147
0.16,15.269189519999998,13,120,2212,18.12,165,,,,-17.77326202392578,0.0003,1211,10.414251327514648,-1.9142733812332153,0.7036271691322327
0.16,16.364197400000002,13,124,2292,18.12,170,,,,-18.546403884887695,0.0003,1291,10.534679412841797,-2.0375659465789795,0.6886315941810608
0.16,19.32111673,13,128,2372,18.12,176,,,,-19.785839080810547,0.0003,1371,11.921764373779297,-2.035918951034546,0.6742605566978455
0.16,21.177806309999998,13,132,2452,18.12,182,,,,-21.796077728271484,0.0003,1451,14.244686126708984,-2.155508518218994,0.6602890491485596
0.16,21.536886289999998,13,136,2532,18.12,188,,,,-22.317272186279297,0.0003,1531,15.856058120727539,-2.1759181022644043,0.6467087268829346
0.16,23.80631273,13,140,2612,18.12,194,,,,-23.968158721923828,0.0003,1611,22.893104553222656,-2.1942906379699707,0.633546769618988
0.16,25.327310439999998,13,144,2692,18.12,200,,,,-25.38243293762207,0.0003,1691,22.093421936035156,-2.2296855449676514,0.6206855177879333
0.16,26.980870889999995,13,148,2772,18.12,205,,,,-25.79634666442871,0.0003,1771,21.01067352294922,-2.3561363220214844,0.6083321571350098
0.16,30.35746169,13,152,2852,18.12,211,,,,-27.59583282470703,0.0003,1851,20.628143310546875,-2.5724191665649414,0.5960736274719238
0.15,31.39851603,13,156,2932,18.24,216,,,,-27.485742568969727,0.0003,1931,20.908720016479492,-2.4531967639923096,0.5840917229652405
,,,,3000,,,0.0,72.1335662,20.0,-29.919384002685547,0.0003,1999,22.517070770263672,-2.507908344268799,0.5744097828865051
0.14,32.52270271,13,160,3012,18.35,231,,,,-30.168521881103516,0.0003,2011,20.89578628540039,-2.5641844272613525,0.5727127194404602
0.13,34.79073915,13,164,3092,18.49,237,,,,-31.232845306396484,0.0003,2091,28.407611846923828,-2.464125633239746,0.5615937113761902
0.12,34.87119987,13,168,3172,18.63,242,,,,-31.916461944580078,0.0003,2171,31.334152221679688,-2.3470287322998047,0.5506083965301514
0.12,38.17186172999999,13,172,3252,18.63,248,,,,-33.819091796875,0.0003,2251,27.851600646972656,-2.515470504760742,0.5399547219276428
0.11,40.30885335999999,13,176,3332,18.72,253,,,,-34.40739440917969,0.0003,2331,34.457359313964844,-2.744201183319092,0.5296024084091187
