time/fps,rollout/ep_len_mean,rollout/success_rate,train/n_updates,train/ent_coef,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/actor_loss,time/episodes,eval/success_rate,eval/mean_ep_length,eval/mean_reward
40,16.5,0.25,1000,0.05000000074505806,66,1,16.481977,0.0003,5.583718646049499,-11.71550990654528,4,,,
24,18.25,0.125,1180,0.05000000074505806,146,5,2.3659705000000013,0.0003,5.056053400039673,-18.086267471313477,8,,,
17,17.916666666666668,0.16666666666666666,1456,0.05000000074505806,215,12,16.69246,0.0003,7.398849725723267,-19.776789665222168,12,,,
15,18.4375,0.125,1776,0.05000000074505806,295,19,26.1072960625,0.0003,13.263913631439209,-23.30101203918457,16,,,
14,18.75,0.1,2096,0.05000000074505806,375,26,33.0516283,0.0003,18.061766147613525,-28.099221229553223,20,,,
13,18.958333333333332,0.08333333333333333,2416,0.05000000074505806,455,33,33.28228020833333,0.0003,24.993794441223145,-33.184969902038574,24,,,
,,,2596,0.05000000074505806,500,,,0.0003,27.71058464050293,-36.69423866271973,,0.0,20.0,58.334179299999995
9,19.107142857142858,0.07142857142857142,2736,0.05000000074505806,535,53,36.39147653571428,0.0003,28.870383739471436,-39.46689796447754,28,,,
10,19.21875,0.0625,3056,0.05000000074505806,615,59,39.15556284375,0.0003,38.07872295379639,-46.899115562438965,32,,,
10,19.305555555555557,0.05555555555555555,3376,0.05000000074505806,695,66,35.80280502777777,0.0003,48.60406684875488,-53.73355484008789,36,,,
10,19.375,0.05,3696,0.05000000074505806,775,72,35.39692015,0.0003,58.6770658493042,-61.48939037322998,40,,,
10,19.431818181818183,0.045454545454545456,4016,0.05000000074505806,855,78,39.12163936363636,0.0003,59.84489822387695,-68.37116241455078,44,,,
11,19.479166666666668,0.041666666666666664,4336,0.05000000074505806,935,84,40.17249508333334,0.0003,84.64565658569336,-75.35050964355469,48,,,
,,,4596,0.05000000074505806,1000,,,0.0003,95.61592102050781,-82.81603050231934,,0.0,20.0,9.532940100000001
9,19.51923076923077,0.038461538461538464,4656,0.05000000074505806,1015,105,39.093281173076925,0.0003,114.44025230407715,-83.3869686126709,52,,,
9,19.553571428571427,0.03571428571428571,4976,0.05000000074505806,1095,112,36.365556964285716,0.0003,124.59841918945312,-92.48060417175293,56,,,
9,19.583333333333332,0.03333333333333333,5296,0.05000000074505806,1175,119,34.82327185,0.0003,153.46636962890625,-101.67988014221191,60,,,
9,19.609375,0.03125,5616,0.05000000074505806,1255,126,35.76609760937501,0.0003,164.58581924438477,-104.6543197631836,64,,,
10,19.63235294117647,0.029411764705882353,5936,0.05000000074505806,1335,133,34.42489739705883,0.0003,208.16398239135742,-114.00273895263672,68,,,
10,19.65277777777778,0.027777777777777776,6256,0.05000000074505806,1415,139,33.61504761111111,0.0003,219.35192108154297,-120.79515266418457,72,,,
10,19.67105263157895,0.02631578947368421,6576,0.05000000074505806,1495,146,31.28166551315789,0.0003,239.8175277709961,-125.33232307434082,76,,,
,,,6596,0.05000000074505806,1500,,,0.0003,210.84460067749023,-123.10231018066406,,0.0,20.0,-9.02713205
9,19.6875,0.025,6896,0.05000000074505806,1575,164,29.9136436375,0.0003,275.4904098510742,-132.56902313232422,80,,,
9,19.702380952380953,0.023809523809523808,7216,0.05000000074505806,1655,171,30.492095000000003,0.0003,328.2242126464844,-138.7652244567871,84,,,
9,19.71590909090909,0.022727272727272728,7536,0.05000000074505806,1735,179,30.110734795454547,0.0003,374.61055755615234,-143.3164520263672,88,,,
9,19.72826086956522,0.021739130434782608,7856,0.05000000074505806,1815,185,30.18309138043478,0.0003,384.77464294433594,-145.69175720214844,92,,,
9,19.739583333333332,0.020833333333333332,8176,0.05000000074505806,1895,193,31.075867937500004,0.0003,439.12756729125977,-151.14652252197266,96,,,
9,19.75,0.02,8496,0.05000000074505806,1975,200,32.88937158,0.0003,478.84486389160156,-160.96293258666992,100,,,
,,,8596,0.05000000074505806,2000,,,0.0003,407.6908264160156,-162.88025665283203,,0.0,20.0,58.9017711
9,19.89,0.01,8816,0.05000000074505806,2055,220,35.28714396,0.0003,359.0209732055664,-167.6677589416504,104,,,
9,19.89,0.01,9136,0.05000000074505806,2135,226,37.0734597,0.0003,539.1029434204102,-174.5307388305664,108,,,
9,20.0,0.0,9456,0.05000000074505806,2215,234,38.31524811,0.0003,524.6693115234375,-180.4915657043457,112,,,
9,20.0,0.0,9776,0.05000000074505806,2295,241,39.10901708,0.0003,519.9224700927734,-189.85319900512695,116,,,
9,20.0,0.01,10096,0.05000000074505806,2375,248,39.67037006,0.0003,453.8240966796875,-194.7814178466797,120,,,
