time/total_timesteps,time/time_elapsed,rollout/success_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss
66,1,0.25,4,16.5,60.083805000000005,64,,,,,
146,1,0.125,8,18.25,29.24747225,74,,,,,
226,2,0.08333333333333333,12,18.833333333333332,19.078998083333335,81,,,,,
306,3,0.0625,16,19.125,13.908926312500002,84,,,,,
373,4,0.1,20,18.65,21.3990137,85,,,,,
453,5,0.08333333333333333,24,18.875,20.12757625,85,,,,,
533,6,0.07142857142857142,28,19.035714285714285,16.379711642857142,86,,,,,
613,6,0.0625,32,19.15625,13.4986041875,88,,,,,
693,7,0.05555555555555555,36,19.25,11.563694638888888,89,,,,,
773,8,0.05,40,19.325,10.205966675000003,90,,,,,
853,9,0.045454545454545456,44,19.386363636363637,8.723659340909093,90,,,,,
933,10,0.041666666666666664,48,19.4375,7.4712224166666665,91,,,,,
1013,11,0.038461538461538464,52,19.48076923076923,7.415052865384616,88,0.009999999776482582,-0.18747010827064514,24,0.0003,0.8196166157722473
1093,13,0.03571428571428571,56,19.517857142857142,6.259616196428572,79,0.009999999776482582,-1.7937568426132202,184,0.0003,80.72299772500992
1138,15,0.06666666666666667,60,18.966666666666665,12.8116504,75,0.009999999776482582,-3.190116763114929,274,0.0003,74.82370924949646
1146,15,0.125,64,17.90625,25.47627678125,73,0.009999999776482582,-5.3674633502960205,290,0.0003,5.503612995147705
1226,17,0.11764705882352941,68,18.029411764705884,23.446491985294116,68,0.009999999776482582,-22.731197357177734,450,0.0003,199.4529571533203
1306,20,0.1111111111111111,72,18.13888888888889,21.644173125,64,0.009999999776482582,-20.55399990081787,610,0.0003,145.22956085205078
1352,21,0.13157894736842105,76,17.789473684210527,26.169388289473684,62,0.009999999776482582,-37.76034736633301,702,0.0003,209.19994354248047
1364,22,0.175,80,17.05,36.329692662499994,61,0.009999999776482582,-45.141075134277344,726,0.0003,371.52667236328125
1376,22,0.21428571428571427,84,16.38095238095238,45.520560380952375,60,0.009999999776482582,-50.00593566894531,750,0.0003,324.0065002441406
1387,23,0.25,88,15.761363636363637,53.649009,59,0.009999999776482582,-54.579349517822266,772,0.0003,420.9971008300781
1416,24,0.2717391304347826,92,15.391304347826088,58.72718048913043,58,0.009999999776482582,-70.34807205200195,830,0.0003,335.17616271972656
1428,24,0.3020833333333333,96,14.875,65.7574075,57,0.009999999776482582,-67.80338668823242,854,0.0003,417.8601989746094
1457,25,0.32,100,14.57,69.84477217,56,0.009999999776482582,-82.08863830566406,912,0.0003,371.9791717529297
1468,26,0.35,104,14.02,76.48056578,55,0.009999999776482582,-83.59300994873047,934,0.0003,333.5699768066406
1480,26,0.39,108,13.34,85.69065555000002,55,0.009999999776482582,-90.32157135009766,958,0.0003,287.1498260498047
1492,27,0.43,112,12.66,94.86059211000001,54,0.009999999776482582,-98.27034378051758,982,0.0003,302.51878356933594
1504,28,0.47,116,11.98,104.11946028,53,0.009999999776482582,-99.54005813598633,1006,0.0003,322.17529296875
1550,29,0.48,120,11.77,106.38002097999997,52,0.009999999776482582,-108.56005477905273,1098,0.0003,355.6016387939453
1561,30,0.52,124,11.08,114.78169997,51,0.009999999776482582,-111.441162109375,1120,0.0003,296.0852355957031
1571,30,0.56,128,10.38,123.85768460999999,51,0.009999999776482582,-117.72774505615234,1140,0.0003,496.17478942871094
1599,31,0.59,132,9.86,130.75181937000002,50,0.009999999776482582,-119.48512268066406,1196,0.0003,398.0463562011719
1611,32,0.63,136,9.18,140.02593473000002,49,0.009999999776482582,-121.63779067993164,1220,0.0003,393.78883361816406
1622,32,0.67,140,8.49,149.14007021999998,49,0.009999999776482582,-124.07658386230469,1242,0.0003,337.37108612060547
1633,33,0.71,144,7.8,158.42268124000003,49,0.009999999776482582,-127.67227554321289,1264,0.0003,386.935546875
1662,34,0.74,148,7.29,165.50565420000004,48,0.009999999776482582,-127.57495880126953,1322,0.0003,364.8535614013672
