rollout/success_rate,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,4,20.0,85,80,0,0.15998299999999976,,,,,,,,
0.0,8,20.0,89,160,1,2.784059625,,,,,,,,
0.0,12,20.0,93,240,2,-0.60054725,,,,,,,,
0.0,16,20.0,96,320,3,-1.95934475,,,,,,,,
0.0,20,20.0,97,400,4,-2.81494325,,,,,,,,
0.041666666666666664,24,19.208333333333332,95,461,4,6.356781875,,,,,,,,
0.03571428571428571,28,19.321428571428573,95,541,5,4.970795964285714,,,,,,,,
0.03125,32,19.40625,95,621,6,3.706589000000001,,,,,,,,
0.027777777777777776,36,19.47222222222222,95,701,7,2.5601821944444456,,,,,,,,
0.025,40,19.525,95,781,8,1.6299157000000004,,,,,,,,
0.022727272727272728,44,19.568181818181817,95,861,8,1.2716013863636368,,,,,,,,
0.020833333333333332,48,19.604166666666668,94,941,9,1.3368837499999995,,,,,,,,
0.038461538461538464,52,19.326923076923077,91,1005,11,5.601199903846153,0.009999999776482582,8,0.4608495533466339,0.11775841191411018,0.0003,,,
0.05357142857142857,56,19.053571428571427,82,1067,12,9.295367803571429,0.009999999776482582,132,83.41481536626816,-4.7139739990234375,0.0003,,,
0.1,60,18.233333333333334,79,1094,13,19.258849950000002,0.009999999776482582,186,157.80364274978638,-7.450297594070435,0.0003,,,
0.140625,64,17.515625,76,1121,14,28.097079609375,0.009999999776482582,240,147.31916046142578,-14.570556640625,0.0003,,,
0.19117647058823528,68,16.63235294117647,74,1131,15,39.31100611764706,0.009999999776482582,260,341.30120849609375,-16.797773361206055,0.0003,,,
0.2222222222222222,72,16.069444444444443,72,1157,16,45.89677129166667,0.009999999776482582,312,210.56907653808594,-28.44479465484619,0.0003,,,
0.2236842105263158,76,16.039473684210527,68,1219,17,45.95002077631579,0.009999999776482582,436,138.9275665283203,-37.30190849304199,0.0003,,,
0.225,80,16.0125,65,1281,19,45.948823412500005,0.009999999776482582,560,175.54218292236328,-47.346187591552734,0.0003,,,
0.25,84,15.547619047619047,64,1306,20,51.21562351190476,0.009999999776482582,610,177.24048614501953,-47.4726505279541,0.0003,,,
0.25,88,15.556818181818182,61,1369,22,51.08928335227272,0.009999999776482582,736,382.7188720703125,-56.99286651611328,0.0003,,,
0.2826086956521739,92,14.98913043478261,60,1379,22,58.34550416304347,0.009999999776482582,756,392.7583923339844,-57.2492733001709,0.0003,,,
0.3020833333333333,96,14.635416666666666,59,1405,23,62.53554117708334,0.009999999776482582,808,465.29486083984375,-65.83860778808594,0.0003,,,
0.32,100,14.3,58,1430,24,66.41140411,0.009999999776482582,858,471.31280517578125,-69.14490509033203,0.0003,,,
0.36,104,13.59,57,1439,25,75.12975175000001,0.009999999776482582,876,580.3798217773438,-74.8916130065918,0.0003,,,
0.39,108,13.07,56,1467,26,81.42752435,0.009999999776482582,932,460.5635986328125,-78.91752624511719,0.0003,,,
0.42,112,12.54,55,1494,26,88.15392321000002,0.009999999776482582,986,829.470703125,-89.52514266967773,0.0003,,,
0.46,116,11.91,54,1511,27,97.03527730999998,0.009999999776482582,1020,622.3856201171875,-96.01144027709961,0.0003,,,
0.48,120,11.55,53,1555,29,101.46453927999997,0.009999999776482582,1108,808.0508117675781,-108.17604064941406,0.0003,,,
0.51,124,11.03,52,1564,29,108.04391377000002,0.009999999776482582,1126,798.7570190429688,-108.43043518066406,0.0003,,,
0.54,128,10.51,52,1592,30,114.69603636999999,0.009999999776482582,1182,488.4640655517578,-113.77561950683594,0.0003,,,
0.56,132,10.16,51,1637,32,119.05852374000001,0.009999999776482582,1272,535.4966125488281,-120.50344848632812,0.0003,,,
0.6,136,9.47,50,1648,32,128.07890375000002,0.009999999776482582,1294,626.9701538085938,-126.01607131958008,0.0003,,,
0.61,140,9.29,49,1710,34,130.20475,0.009999999776482582,1418,402.5338134765625,-134.7436981201172,0.0003,,,
