curriculum/randomize_probability,time/fps,rollout/success_rate,curriculum/stage_index,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.0,71,0.25,0.0,16.5,0,60.083805000000005,4,66,,,,,,,,
0.0,79,0.125,0.0,18.25,1,29.24747225,8,146,,,,,,,,
0.0,82,0.08333333333333333,0.0,18.833333333333332,2,19.078998083333335,12,226,,,,,,,,
0.0,84,0.0625,0.0,19.125,3,13.908926312500002,16,306,,,,,,,,
0.0,84,0.1,0.0,18.65,4,21.3990137,20,373,,,,,,,,
0.0,82,0.08333333333333333,0.0,18.875,5,20.12757625,24,453,,,,,,,,
0.0,83,0.07142857142857142,0.0,19.035714285714285,6,16.379711642857142,28,533,,,,,,,,
0.0,84,0.0625,0.0,19.15625,7,13.4986041875,32,613,,,,,,,,
0.0,85,0.05555555555555555,0.0,19.25,8,11.563694638888888,36,693,,,,,,,,
0.0,85,0.05,0.0,19.325,9,10.205966675000003,40,773,,,,,,,,
0.0,85,0.045454545454545456,0.0,19.386363636363637,9,8.723659340909093,44,853,,,,,,,,
0.0,86,0.041666666666666664,0.0,19.4375,10,7.4712224166666665,48,933,,,,,,,,
0.0,84,0.038461538461538464,0.0,19.48076923076923,11,7.415052865384616,52,1013,0.0003,0.009999999776482582,-0.18747010827064514,0.8196166157722473,24,,,
0.0,77,0.03571428571428571,0.0,19.517857142857142,14,6.259616196428572,56,1093,0.0003,0.009999999776482582,-1.7937568426132202,80.72299772500992,184,,,
0.0,74,0.06666666666666667,0.0,18.966666666666665,15,12.8116504,60,1138,0.0003,0.009999999776482582,-3.190116763114929,74.82370924949646,274,,,
0.0,72,0.125,0.0,17.90625,15,25.47627678125,64,1146,0.0003,0.009999999776482582,-5.3674633502960205,5.503612995147705,290,,,
0.0,68,0.11764705882352941,0.0,18.029411764705884,17,23.446491985294116,68,1226,0.0003,0.009999999776482582,-22.731197357177734,199.4529571533203,450,,,
0.0,64,0.1111111111111111,0.0,18.13888888888889,20,21.644173125,72,1306,0.0003,0.009999999776482582,-20.55399990081787,145.22956085205078,610,,,
0.0,62,0.13157894736842105,0.0,17.789473684210527,21,26.169388289473684,76,1352,0.0003,0.009999999776482582,-37.76034736633301,209.19994354248047,702,,,
0.0,61,0.175,0.0,17.05,22,36.329692662499994,80,1364,0.0003,0.009999999776482582,-45.141075134277344,371.52667236328125,726,,,
0.0,60,0.21428571428571427,0.0,16.38095238095238,22,45.520560380952375,84,1376,0.0003,0.009999999776482582,-50.00593566894531,324.0065002441406,750,,,
0.0,60,0.25,0.0,15.761363636363637,23,53.649009,88,1387,0.0003,0.009999999776482582,-54.579349517822266,420.9971008300781,772,,,
0.0,58,0.2717391304347826,0.0,15.391304347826088,24,58.72718048913043,92,1416,0.0003,0.009999999776482582,-70.34807205200195,335.17616271972656,830,,,
0.0,57,0.3020833333333333,0.0,14.875,24,65.7574075,96,1428,0.0003,0.009999999776482582,-67.80338668823242,417.8601989746094,854,,,
0.0,56,0.32,0.0,14.57,25,69.84477217,100,1457,0.0003,0.009999999776482582,-82.08863830566406,371.9791717529297,912,,,
0.0,55,0.35,0.0,14.02,26,76.48056578,104,1468,0.0003,0.009999999776482582,-83.59300994873047,333.5699768066406,934,,,
0.0,55,0.39,0.0,13.34,26,85.69065555000002,108,1480,0.0003,0.009999999776482582,-90.32157135009766,287.1498260498047,958,,,
0.0,54,0.43,0.0,12.66,27,94.86059211000001,112,1492,0.0003,0.009999999776482582,-98.27034378051758,302.51878356933594,982,,,
0.0,54,0.47,0.0,11.98,27,104.11946028,116,1504,0.0003,0.009999999776482582,-99.54005813598633,322.17529296875,1006,,,
0.0,52,0.48,0.0,11.77,29,106.38002097999997,120,1550,0.0003,0.009999999776482582,-108.56005477905273,355.6016387939453,1098,,,
0.0,52,0.52,0.0,11.08,29,114.78169997,124,1561,0.0003,0.009999999776482582,-111.441162109375,296.0852355957031,1120,,,
0.0,51,0.56,0.0,10.38,30,123.85768460999999,128,1571,0.0003,0.009999999776482582,-117.72774505615234,496.17478942871094,1140,,,
0.0,51,0.59,0.0,9.86,31,130.75181937000002,132,1599,0.0003,0.009999999776482582,-119.48512268066406,398.0463562011719,1196,,,
0.0,50,0.63,0.0,9.18,31,140.02593473000002,136,1611,0.0003,0.009999999776482582,-121.63779067993164,393.78883361816406,1220,,,
0.0,50,0.67,0.0,8.49,32,149.14007021999998,140,1622,0.0003,0.009999999776482582,-124.07658386230469,337.37108612060547,1242,,,
0.0,49,0.71,0.0,7.8,32,158.42268124000003,144,1633,0.0003,0.009999999776482582,-127.67227554321289,386.935546875,1264,,,
0.0,49,0.74,0.0,7.29,33,165.50565420000004,148,1662,0.0003,0.009999999776482582,-127.57495880126953,364.8535614013672,1322,,,
0.0,48,0.78,0.0,6.61,34,174.46236874,152,1674,0.0003,0.009999999776482582,-137.48953247070312,260.11558532714844,1346,,,
0.0,48,0.82,0.0,5.93,34,184.03598646999995,156,1686,0.0003,0.009999999776482582,-139.61676025390625,477.85435485839844,1370,,,
0.0,47,0.84,0.0,5.6,35,189.06785083000003,160,1698,0.0003,0.009999999776482582,-141.7268829345703,405.4080505371094,1394,,,
0.0,47,0.83,0.0,5.8,36,187.01704034000005,164,1726,0.0003,0.009999999776482582,-140.95687103271484,376.71563720703125,1450,,,
0.0,46,0.87,0.0,5.11,36,196.39163679,168,1737,0.0003,0.009999999776482582,-148.73605346679688,334.02618408203125,1472,,,
0.0,46,0.91,0.0,4.42,37,205.69580269000002,172,1748,0.0003,0.009999999776482582,-146.2119369506836,308.68882751464844,1494,,,
0.0,46,0.92,0.0,4.23,38,207.76142649000002,176,1775,0.0003,0.009999999776482582,-153.22528839111328,292.1572570800781,1548,,,
0.0,45,0.92,0.0,4.2,38,207.19147069,180,1784,0.0003,0.009999999776482582,-155.81807708740234,365.0801086425781,1566,,,
0.0,45,0.91,0.0,4.35,39,204.45911894999998,184,1811,0.0003,0.009999999776482582,-153.98477172851562,245.38697814941406,1620,,,
0.0,44,0.9,0.0,4.51,40,201.91913401,188,1838,0.0003,0.009999999776482582,-164.81780242919922,204.6770782470703,1674,,,
0.0,44,0.91,0.0,4.31,41,203.72091069,192,1847,0.0003,0.009999999776482582,-165.93771362304688,189.06134033203125,1692,,,
0.0,44,0.91,0.0,4.3,41,203.46695422000002,196,1858,0.0003,0.009999999776482582,-165.34158325195312,162.42572021484375,1714,,,
