rollout/ep_len_mean,rollout/ep_rew_mean,curriculum/stage_index,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,curriculum/randomize_probability,rollout/success_rate,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
16.5,60.083805000000005,0.0,60,1,66,4,0.0,0.25,,,,,,,,
18.25,29.24747225,0.0,68,2,146,8,0.0,0.125,,,,,,,,
18.833333333333332,19.078998083333335,0.0,71,3,226,12,0.0,0.08333333333333333,,,,,,,,
19.125,13.908926312500002,0.0,71,4,306,16,0.0,0.0625,,,,,,,,
18.65,21.3990137,0.0,71,5,373,20,0.0,0.1,,,,,,,,
18.875,20.12757625,0.0,70,6,453,24,0.0,0.08333333333333333,,,,,,,,
19.035714285714285,16.379711642857142,0.0,71,7,533,28,0.0,0.07142857142857142,,,,,,,,
19.15625,13.4986041875,0.0,73,8,613,32,0.0,0.0625,,,,,,,,
19.25,11.563694638888888,0.0,73,9,693,36,0.0,0.05555555555555555,,,,,,,,
19.325,10.205966675000003,0.0,73,10,773,40,0.0,0.05,,,,,,,,
19.386363636363637,8.723659340909093,0.0,74,11,853,44,0.0,0.045454545454545456,,,,,,,,
19.4375,7.4712224166666665,0.0,75,12,933,48,0.0,0.041666666666666664,,,,,,,,
19.48076923076923,7.415052865384616,0.0,73,13,1013,52,0.0,0.038461538461538464,0.009999999776482582,24,0.8196166157722473,0.0003,-0.18747010827064514,,,
19.517857142857142,6.259616196428572,0.0,66,16,1093,56,0.0,0.03571428571428571,0.009999999776482582,184,80.72299772500992,0.0003,-1.7937568426132202,,,
18.966666666666665,12.8116504,0.0,62,18,1138,60,0.0,0.06666666666666667,0.009999999776482582,274,74.82370924949646,0.0003,-3.190116763114929,,,
17.90625,25.47627678125,0.0,61,18,1146,64,0.0,0.125,0.009999999776482582,290,5.503612995147705,0.0003,-5.3674633502960205,,,
18.029411764705884,23.446491985294116,0.0,57,21,1226,68,0.0,0.11764705882352941,0.009999999776482582,450,199.4529571533203,0.0003,-22.731197357177734,,,
18.13888888888889,21.644173125,0.0,54,24,1306,72,0.0,0.1111111111111111,0.009999999776482582,610,145.22956085205078,0.0003,-20.55399990081787,,,
17.789473684210527,26.169388289473684,0.0,52,25,1352,76,0.0,0.13157894736842105,0.009999999776482582,702,209.19994354248047,0.0003,-37.76034736633301,,,
17.05,36.329692662499994,0.0,51,26,1364,80,0.0,0.175,0.009999999776482582,726,371.52667236328125,0.0003,-45.141075134277344,,,
16.38095238095238,45.520560380952375,0.0,50,27,1376,84,0.0,0.21428571428571427,0.009999999776482582,750,324.0065002441406,0.0003,-50.00593566894531,,,
15.761363636363637,53.649009,0.0,50,27,1387,88,0.0,0.25,0.009999999776482582,772,420.9971008300781,0.0003,-54.579349517822266,,,
15.391304347826088,58.72718048913043,0.0,48,28,1416,92,0.0,0.2717391304347826,0.009999999776482582,830,335.17616271972656,0.0003,-70.34807205200195,,,
14.875,65.7574075,0.0,48,29,1428,96,0.0,0.3020833333333333,0.009999999776482582,854,417.8601989746094,0.0003,-67.80338668823242,,,
14.57,69.84477217,0.0,47,30,1457,100,0.0,0.32,0.009999999776482582,912,371.9791717529297,0.0003,-82.08863830566406,,,
14.02,76.48056578,0.0,46,31,1468,104,0.0,0.35,0.009999999776482582,934,333.5699768066406,0.0003,-83.59300994873047,,,
13.34,85.69065555000002,0.0,46,32,1480,108,0.0,0.39,0.009999999776482582,958,287.1498260498047,0.0003,-90.32157135009766,,,
12.66,94.86059211000001,0.0,45,32,1492,112,0.0,0.43,0.009999999776482582,982,302.51878356933594,0.0003,-98.27034378051758,,,
11.98,104.11946028,0.0,45,33,1504,116,0.0,0.47,0.009999999776482582,1006,322.17529296875,0.0003,-99.54005813598633,,,
11.77,106.38002097999997,0.0,43,35,1550,120,0.0,0.48,0.009999999776482582,1098,355.6016387939453,0.0003,-108.56005477905273,,,
11.08,114.78169997,0.0,43,35,1561,124,0.0,0.52,0.009999999776482582,1120,296.0852355957031,0.0003,-111.441162109375,,,
10.38,123.85768460999999,0.0,43,36,1571,128,0.0,0.56,0.009999999776482582,1140,496.17478942871094,0.0003,-117.72774505615234,,,
