rollout/success_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
0.0,4,200,50.0,3,57,-56.65475825,,,,,,,,,
0.0,8,400,50.0,6,60,-57.53984875,,,,,,,,,
0.0,12,600,50.0,9,61,-56.63603341666666,,,,,,,,,
0.0,16,800,50.0,12,62,-56.7696645,,,,,,,,,
0.0,20,1000,50.0,16,62,-56.485033900000005,,,,,,,,,
0.0,24,1200,50.0,21,54,-55.80629179166667,0.9422629475593567,0.13452893495559692,0.0003,-4.798162937164307,199,-0.399639368057251,,,
0.0,28,1400,50.0,28,48,-58.15527353571429,0.8873639106750488,0.11626248061656952,0.0003,-5.349883079528809,399,-0.8036954402923584,,,
0.0,32,1600,50.0,35,45,-60.02917537500001,0.8356708288192749,0.04887586832046509,0.0003,-6.021203994750977,599,-1.2098265886306763,,,
0.0,36,1800,50.0,41,43,-61.56735966666666,0.7869873046875,0.05969729274511337,0.0003,-6.616711139678955,799,-1.6155641078948975,,,
0.0,40,2000,50.0,47,41,-62.88796567500001,0.7411492466926575,0.04344874620437622,0.0003,-7.145872116088867,999,-2.0229623317718506,,,
0.0,44,2200,50.0,53,41,-60.85716359090909,0.697973906993866,0.037762053310871124,0.0003,-7.705188751220703,1199,-2.4193036556243896,,,
0.0,48,2400,50.0,59,40,-61.403504166666664,0.6573258638381958,0.03278576582670212,0.0003,-7.963486671447754,1399,-2.8308067321777344,,,
,,2500,,,,,0.6379026770591736,0.0638614073395729,0.0003,-8.079068183898926,1499,-3.0428273677825928,0.0,-63.489756,50.0
0.0,52,2600,50.0,75,34,-61.11577438461538,0.6190495491027832,0.06093700975179672,0.0003,-8.146303176879883,1599,-3.219329357147217,,,
0.0,56,2800,50.0,82,34,-61.52599546428572,0.5829964280128479,0.06118950992822647,0.0003,-8.320778846740723,1799,-3.64021897315979,,,
0.0,60,3000,50.0,88,33,-60.70555815,0.5490449666976929,0.06672820448875427,0.0003,-8.371007919311523,1999,-4.037863254547119,,,
0.0,64,3200,50.0,95,33,-60.835201890625,0.5170713067054749,0.07525426149368286,0.0003,-8.231464385986328,2199,-4.43129825592041,,,
0.0,68,3400,50.0,102,33,-61.196109441176475,0.4869675934314728,0.16779369115829468,0.0003,-8.23324966430664,2399,-4.83108377456665,,,
0.0,72,3600,50.0,109,32,-61.67484658333334,0.45861566066741943,0.0922604501247406,0.0003,-7.9745869636535645,2599,-5.231198310852051,,,
0.0,76,3800,50.0,116,32,-61.78722860526318,0.43192192912101746,0.1681140661239624,0.0003,-7.678328514099121,2799,-5.656447410583496,,,
0.0,80,4000,50.0,122,32,-60.99674106249999,0.4067751169204712,0.11896739155054092,0.0003,-7.131709098815918,2999,-6.0655741691589355,,,
0.0,84,4200,50.0,128,32,-61.29523589285715,0.38309594988822937,0.10228735953569412,0.0003,-6.4599809646606445,3199,-6.444419860839844,,,
0.0,88,4400,50.0,135,32,-61.27348531818182,0.36078980565071106,0.249761164188385,0.0003,-6.4767165184021,3399,-6.811168193817139,,,
0.0,92,4600,50.0,141,32,-61.419395,0.3397877514362335,0.10342562198638916,0.0003,-5.7955217361450195,3599,-7.258048057556152,,,
0.0,96,4800,50.0,148,32,-61.53170594791667,0.3200070858001709,0.2708972692489624,0.0003,-5.393661022186279,3799,-7.704960346221924,,,
,,5000,,,,,0.301379919052124,0.35057511925697327,0.0003,-4.5541181564331055,3999,-8.033965110778809,0.0,-65.2647835,50.0
0.0,100,5000,50.0,164,30,-62.03575114000001,,,,,,,,,
0.0,104,5200,50.0,171,30,-62.44149592000001,0.2838377058506012,0.1419658362865448,0.0003,-3.8549838066101074,4199,-8.460733413696289,,,
0.0,108,5400,50.0,178,30,-62.40392772999999,0.2673238515853882,0.2636103928089142,0.0003,-3.6011500358581543,4399,-8.873451232910156,,,
0.0,112,5600,50.0,185,30,-62.913016549999995,0.2517763376235962,0.19951319694519043,0.0003,-2.854177951812744,4599,-9.26969051361084,,,
0.0,116,5800,50.0,192,30,-63.37147618,0.23713034391403198,0.3719295859336853,0.0003,-1.8314794301986694,4799,-9.597620010375977,,,
0.0,120,6000,50.0,199,30,-63.45276715,0.2233435958623886,0.4749602675437927,0.0003,-1.1081769466400146,4999,-10.046674728393555,,,
0.0,124,6200,50.0,205,30,-62.93330372,0.21037407219409943,0.725113570690155,0.0003,-0.6105340719223022,5199,-10.41749095916748,,,
