rollout/success_rate,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,96,24.0,2,4,36,-25.67429225,,,,,,,,,
0.0,192,24.0,5,8,37,-29.85026425,,,,,,,,,
0.0,288,24.0,7,12,40,-30.345682750000005,,,,,,,,,
0.0,384,24.0,9,16,39,-29.396815687500002,,,,,,,,,
0.0,480,24.0,11,20,40,-29.217510400000002,,,,,,,,,
0.0,576,24.0,14,24,40,-29.425735375000002,,,,,,,,,
0.0,672,24.0,16,28,40,-28.208218357142858,,,,,,,,,
0.0,768,24.0,18,32,41,-29.010605249999998,,,,,,,,,
0.0,864,24.0,20,36,41,-29.43159761111111,,,,,,,,,
0.0,960,24.0,23,40,41,-29.540596725,,,,,,,,,
0.0,1056,24.0,26,44,40,-29.34693738636364,0.2699694037437439,0.0003,0.9839017987251282,-0.10951642692089081,55,-4.115678787231445,,,
0.0,1152,24.0,29,48,38,-29.487291083333332,0.22090944647789001,0.0003,0.9559379816055298,-0.3026584982872009,151,-4.475024223327637,,,
0.0,1248,24.0,34,52,36,-29.271490923076918,0.14405874907970428,0.0003,0.9287855625152588,-0.4968142509460449,247,-4.799899578094482,,,
0.0,1344,24.0,38,56,35,-29.081400000000002,0.09998668730258942,0.0003,0.9024059772491455,-0.6884256601333618,343,-5.091547012329102,,,
0.0,1440,24.0,42,60,34,-29.263415833333333,0.05821876972913742,0.0003,0.876778781414032,-0.8851332664489746,439,-5.427298545837402,,,
0.0,1536,24.0,46,64,33,-29.085145984375,0.05792117863893509,0.0003,0.8518804907798767,-1.07942533493042,535,-5.804362773895264,,,
0.0,1632,24.0,50,68,32,-29.29167892647059,0.0829015001654625,0.0003,0.8276866674423218,-1.2712616920471191,631,-6.115854740142822,,,
0.0,1728,24.0,54,72,31,-29.50642294444445,0.04055170714855194,0.0003,0.8041801452636719,-1.4640424251556396,727,-6.364884376525879,,,
0.0,1824,24.0,58,76,31,-29.37386293421052,0.04580702632665634,0.0003,0.781343400478363,-1.6622670888900757,823,-6.687966823577881,,,
0.0,1920,24.0,62,80,30,-29.467527575,0.04948727414011955,0.0003,0.7591540217399597,-1.861275553703308,919,-6.9246721267700195,,,
,2000,,,,,,0.052344340831041336,0.0003,0.74115389585495,-2.021559476852417,999,-7.104807376861572,-30.4099111,0.0,24.0
0.0,2016,24.0,72,84,27,-29.555591892857137,0.04658633843064308,0.0003,0.7376022934913635,-2.050295352935791,1015,-7.0963873863220215,,,
0.0,2112,24.0,77,88,27,-29.48827984090909,0.04854948818683624,0.0003,0.7166569232940674,-2.2423813343048096,1111,-7.461690425872803,,,
0.0,2208,24.0,81,92,27,-29.471385956521736,0.04026627540588379,0.0003,0.6963087916374207,-2.4268741607666016,1207,-7.5299601554870605,,,
0.0,2304,24.0,85,96,27,-29.50540434375,0.09849515557289124,0.0003,0.6765440702438354,-2.626330852508545,1303,-7.839256286621094,,,
0.0,2400,24.0,88,100,26,-29.696568900000003,0.0407673642039299,0.0003,0.6573355793952942,-2.8306572437286377,1399,-7.8684916496276855,,,
0.0,2496,24.0,93,104,26,-30.002249169999995,0.06116414815187454,0.0003,0.6386793255805969,-3.017622232437134,1495,-7.913125991821289,,,
0.0,2592,24.0,97,108,26,-29.65249298,0.06196614354848862,0.0003,0.620549201965332,-3.2182085514068604,1591,-7.925004482269287,,,
0.0,2688,24.0,101,112,26,-29.904432710000002,0.07888476550579071,0.0003,0.6029307842254639,-3.392007827758789,1687,-7.860429763793945,,,
0.0,2784,24.0,105,116,26,-31.096771550000003,0.13442295789718628,0.0003,0.585815966129303,-3.6087770462036133,1783,-7.728523254394531,,,
