rollout/success_rate,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/n_updates
0.0,2,64,4,-71.00939975,16.0,31,,,,,,,,,
0.125,4,118,8,-43.19002425,14.75,28,,,,,,,,,
0.08333333333333333,6,182,12,-47.92415775,15.166666666666666,28,,,,,,,,,
0.1875,8,220,16,-36.330005875,13.75,26,,,,,,,,,
0.15,10,284,20,-34.376819749999996,14.2,27,,,,,,,,,
0.125,12,348,24,-35.38013983333334,14.5,27,,,,,,,,,
0.10714285714285714,14,412,28,-35.39098175,14.714285714285714,28,,,,,,,,,
0.09375,16,476,32,-36.026476187499995,14.875,28,,,,,,,,,
0.08333333333333333,18,540,36,-36.094892166666654,15.0,29,,,,,,,,,
0.075,20,604,40,-35.084916324999995,15.1,29,,,,,,,,,
0.06818181818181818,22,668,44,-43.084168636363636,15.181818181818182,29,,,,,,,,,
0.0625,24,732,48,-42.02726193750001,15.25,29,,,,,,,,,
0.057692307692307696,26,796,52,-40.955154673076926,15.307692307692308,29,,,,,,,,,
0.05357142857142857,28,860,56,-39.529832625,15.357142857142858,30,,,,,,,,,
0.05,29,924,60,-38.805100233333334,15.4,31,,,,,,,,,
0.046875,31,988,64,-39.887790796875,15.4375,31,,,,,,,,,
,,1000,,,,,16.0,0.0,-20.3835921,,,,,,
0.04411764705882353,38,1052,68,-38.576144352941185,15.470588235294118,27,,,,0.0003,0.9850802421569824,-2.675074577331543,8.242735862731934,-0.10076042264699936,51
0.041666666666666664,40,1116,72,-37.27497591666667,15.5,27,,,,0.0003,0.966316819190979,-3.075819492340088,2.065389633178711,-0.23148426413536072,115
0.039473684210526314,43,1180,76,-36.23027565789474,15.526315789473685,26,,,,0.0003,0.9479354619979858,-2.856787919998169,0.5031417608261108,-0.3594892621040344,179
0.0375,47,1244,80,-35.4883830625,15.55,26,,,,0.0003,0.9299054145812988,-2.7618601322174072,0.23213107883930206,-0.4883984923362732,243
0.03571428571428571,50,1308,84,-34.992107119047624,15.571428571428571,25,,,,0.0003,0.9122161269187927,-2.6078147888183594,1.0548096895217896,-0.616966187953949,307
0.03409090909090909,53,1372,88,-35.51752113636364,15.590909090909092,25,,,,0.0003,0.8948622941970825,-2.3405792713165283,1.2631309032440186,-0.7440853118896484,371
0.03260869565217391,56,1436,92,-34.98585859782609,15.608695652173912,25,,,,0.0003,0.8778505921363831,-2.846818208694458,0.5933982729911804,-0.8766059279441833,435
0.03125,59,1500,96,-34.35240477083334,15.625,25,,,,0.0003,0.8611688613891602,-3.4166781902313232,1.5443980693817139,-1.0051506757736206,499
0.03,62,1564,100,-34.5089107,15.64,24,,,,0.0003,0.8448144197463989,-2.7971789836883545,1.3394296169281006,-1.1209359169006348,563
0.03,65,1628,104,-32.596132340000004,15.64,24,,,,0.0003,0.8287944197654724,-2.771062135696411,9.865659713745117,-1.2674952745437622,627
0.02,68,1692,108,-32.806899980000004,15.74,24,,,,0.0003,0.8130884170532227,-2.5409414768218994,10.687393188476562,-1.3886196613311768,691
0.02,71,1756,112,-31.317503209999995,15.74,24,,,,0.0003,0.7976803183555603,-2.3548974990844727,0.6979473829269409,-1.5156441926956177,755
0.0,74,1820,116,-31.98213413,16.0,24,,,,0.0003,0.7825654745101929,-2.5927517414093018,2.1870064735412598,-1.6328638792037964,819
0.0,77,1884,120,-31.53287004,16.0,24,,,,0.0003,0.7677431106567383,-4.094804763793945,3.9248712062835693,-1.7503981590270996,883
0.0,80,1948,124,-30.905155599999993,16.0,24,,,,0.0003,0.7532166838645935,-2.885404586791992,1.5533536672592163,-1.8828303813934326,947
,,2000,,,,,14.9,0.1,-15.861786200000001,0.0003,0.741621196269989,-3.5889039039611816,0.6821939945220947,-1.9957003593444824,999
0.0,88,2012,128,-30.99454191,16.0,22,,,,0.0003,0.7389708757400513,-2.421562910079956,0.5302721261978149,-2.0170679092407227,1011
0.0,91,2076,132,-30.0922875,16.0,22,,,,0.0003,0.7249974608421326,-1.0106678009033203,2.229671001434326,-2.1404967308044434,1075
0.0,94,2140,136,-30.70656112,16.0,22,,,,0.0003,0.7112923264503479,-2.0696029663085938,0.9318281412124634,-2.265167474746704,1139
0.0,97,2204,140,-30.642050140000002,16.0,22,,,,0.0003,0.6978443264961243,-0.0023308992385864258,4.624447345733643,-2.3655142784118652,1203
0.0,100,2268,144,-26.44248156,16.0,22,,,,0.0003,0.684683084487915,-2.408029794692993,5.197887420654297,-2.5369856357574463,1267
0.0,103,2332,148,-26.061946680000005,16.0,22,,,,0.0003,0.6717796325683594,-1.851020336151123,5.638223648071289,-2.6299219131469727,1331
0.01,106,2388,152,-27.150075259999994,15.92,22,,,,0.0003,0.6606582999229431,-2.287651300430298,6.25370979309082,-2.741028308868408,1387
0.01,109,2452,156,-26.969697159999996,15.92,22,,,,0.0003,0.6482001543045044,1.9779400825500488,50.80188751220703,-2.8818578720092773,1451
0.01,112,2516,160,-27.025273029999997,15.92,22,,,,0.0003,0.6360116004943848,-0.037913352251052856,1.7786213159561157,-2.9772510528564453,1515
0.01,115,2580,164,-25.439729300000003,15.92,22,,,,0.0003,0.6240553855895996,-1.789597749710083,2.3821115493774414,-3.0943446159362793,1579
0.01,118,2644,168,-25.668259250000006,15.92,22,,,,0.0003,0.612321138381958,1.0314810276031494,2.589648723602295,-3.1440629959106445,1643
0.01,121,2708,172,-25.98388944,15.92,22,,,,0.0003,0.6008304357528687,0.26822519302368164,12.438774108886719,-3.346437931060791,1707
0.01,124,2772,176,-26.055664139999998,15.92,22,,,,0.0003,0.5895571708679199,-0.12312959134578705,97.22782897949219,-3.4746603965759277,1771
0.01,127,2836,180,-25.626612719999997,15.92,22,,,,0.0003,0.5784932971000671,3.942204475402832,12.447732925415039,-3.5599842071533203,1835
0.01,130,2900,184,-25.644220909999998,15.92,22,,,,0.0003,0.5676812529563904,2.494367837905884,1.6074289083480835,-3.696044921875,1899
0.01,133,2964,188,-24.621355729999994,15.92,22,,,,0.0003,0.5570839643478394,0.37108683586120605,2.1955552101135254,-3.8312482833862305,1963
,,3000,,,,,16.0,0.0,-32.88318100000001,0.0003,0.5512129068374634,1.058215856552124,28.76008415222168,-3.84291410446167,1999
0.01,141,3028,192,-24.459979209999993,15.92,21,,,,0.0003,0.5466977953910828,-1.1029396057128906,1.6946427822113037,-3.9304823875427246,2027
0.01,144,3092,196,-24.53555867,15.92,21,,,,0.0003,0.5365135073661804,2.6382224559783936,2.2189369201660156,-4.0388665199279785,2091
0.01,147,3156,200,-23.734616019999994,15.92,21,,,,0.0003,0.5265637040138245,0.2071397602558136,20.355342864990234,-4.143052101135254,2155
0.01,150,3220,204,-23.45588521,15.92,21,,,,0.0003,0.5168430209159851,0.2837093770503998,2.8997881412506104,-4.238567352294922,2219
0.01,153,3284,208,-23.81252266,15.92,21,,,,0.0003,0.5073217153549194,3.855957269668579,2.986774444580078,-4.296248435974121,2283
0.01,156,3348,212,-23.57130006,15.92,21,,,,0.0003,0.49797964096069336,5.038834571838379,3.6423425674438477,-4.327174186706543,2347
0.01,159,3412,216,-23.61713292,15.92,21,,,,0.0003,0.4888750910758972,2.329216241836548,5.781200408935547,-4.414595603942871,2411
0.01,162,3476,220,-23.80438119,15.92,21,,,,0.0003,0.47993212938308716,3.6514763832092285,8.831579208374023,-4.643881797790527,2475
0.01,165,3540,224,-23.699158119999996,15.92,21,,,,0.0003,0.47119376063346863,0.979968786239624,8.968496322631836,-4.7016377449035645,2539
0.02,167,3595,228,-22.71615568,15.83,21,,,,0.0003,0.4638248682022095,4.979275226593018,45.64508056640625,-4.703439235687256,2594
0.02,170,3659,232,-22.59238465,15.83,21,,,,0.0003,0.45539459586143494,-1.0647616386413574,234.42063903808594,-4.829883575439453,2658
0.02,173,3723,236,-21.474067180000006,15.83,21,,,,0.0003,0.44715186953544617,3.8845980167388916,7.673810958862305,-4.873980522155762,2722
0.02,176,3787,240,-21.545828869999994,15.83,21,,,,0.0003,0.4391489028930664,1.7236524820327759,7.341485500335693,-4.98148250579834,2786
0.02,179,3851,244,-21.537532899999995,15.83,21,,,,0.0003,0.43126362562179565,0.30382081866264343,5.363409996032715,-5.0476460456848145,2850
0.02,183,3915,248,-21.504488889999998,15.83,21,,,,0.0003,0.4235193431377411,4.61535120010376,5.365213871002197,-5.200959205627441,2914
0.01,186,3979,252,-20.05766512,15.91,21,,,,0.0003,0.4159558117389679,3.9404125213623047,7.0670881271362305,-5.257193088531494,2978
,,4000,,,,,16.0,0.0,-27.474898500000002,0.0003,0.4135170876979828,0.6703750491142273,272.5978698730469,-5.08050537109375,2999
0.01,193,4043,256,-20.27007629,15.91,20,,,,0.0003,0.4086284041404724,7.693166732788086,13.079338073730469,-4.925904750823975,3042
0.01,196,4107,260,-19.69802503,15.91,20,,,,0.0003,0.4016568064689636,1.4922771453857422,4.1942596435546875,-5.240993022918701,3106
0.01,200,4171,264,-19.77875086,15.91,20,,,,0.0003,0.3947276175022125,4.173658847808838,8.315340042114258,-5.35904598236084,3170
0.01,203,4235,268,-21.48654513,15.91,20,,,,0.0003,0.38792684674263,1.6066765785217285,88.06253051757812,-5.254870414733887,3234
0.01,206,4299,272,-21.319053650000004,15.91,20,,,,0.0003,0.38110294938087463,2.674701690673828,54.20987319946289,-5.575562477111816,3298
0.01,209,4363,276,-21.20476693,15.91,20,,,,0.0003,0.3742513358592987,2.4051554203033447,5.454621315002441,-5.523094654083252,3362
0.02,212,4418,280,-21.64231338,15.82,20,,,,0.0003,0.36845239996910095,6.241635322570801,11.95777702331543,-5.784991264343262,3417
0.02,215,4482,284,-21.464786940000003,15.82,20,,,,0.0003,0.36184820532798767,8.642511367797852,88.61473083496094,-5.50678825378418,3481
0.02,218,4546,288,-21.4846452,15.82,20,,,,0.0003,0.3554389178752899,9.586666107177734,7.818606376647949,-5.685125350952148,3545
