time/episodes,train/actor_loss,time/fps,train/ent_coef,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/time_elapsed,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate
4,-21.450956223160027,20,0.009999999776482582,2.75,500,164.2463926923871,0,0.0003,11,29.537297249999998,1.0
8,,26,,3.5,,,1,,28,31.372219,1.0
12,,24,,3.0,,,1,,36,30.974936166666662,1.0
16,,28,,3.4375,,,1,,55,29.794592625,0.9375
20,,28,,3.5,,,2,,70,28.9948322,0.9
24,,28,,3.3333333333333335,,,2,,80,29.503593583333338,0.9166666666666666
28,,28,,3.2857142857142856,,,3,,92,29.628458178571428,0.9285714285714286
32,,26,,3.0625,,,3,,98,29.49497121875,0.9375
36,,27,,3.111111111111111,,,4,,112,29.753382777777784,0.9444444444444444
40,,28,,3.3,,,4,,132,30.362730650000003,0.95
44,,30,,3.590909090909091,,,5,,158,30.755241863636364,0.9545454545454546
48,,29,,3.4791666666666665,,,5,,167,30.63354729166667,0.9583333333333334
52,,29,,3.3846153846153846,,,6,,176,30.543659615384612,0.9615384615384616
56,,30,,3.642857142857143,,,6,,204,30.85611342857143,0.9642857142857143
60,,31,,3.7666666666666666,,,7,,226,30.433511083333332,0.95
64,,31,,3.6875,,,7,,236,30.426302812499998,0.953125
68,,30,,3.6029411764705883,,,8,,245,30.36168125,0.9558823529411765
72,,30,,3.638888888888889,,,8,,262,30.360047305555554,0.9583333333333334
76,,30,,3.539473684210526,,,8,,269,30.33066130263158,0.9605263157894737
80,,30,,3.65,,,9,,292,30.176522424999995,0.95
84,,30,,3.642857142857143,,,9,,306,30.19006647619047,0.9523809523809523
88,,30,,3.6136363636363638,,,10,,318,30.168410068181814,0.9545454545454546
92,,30,,3.6847826086956523,,,11,,339,30.48438038043478,0.9565217391304348
96,,29,,3.59375,,,11,,345,30.416610479166664,0.9583333333333334
100,,30,,3.65,,,12,,365,30.576819909999994,0.96
104,,29,,3.63,,,12,,374,30.56328144,0.96
108,,29,,3.56,,,13,,384,30.480048440000004,0.96
112,,29,,3.59,,,13,,395,30.459133829999995,0.96
116,,28,,3.5,,,14,,405,30.603570550000004,0.97
120,,29,,3.63,,,14,,433,30.64294122,0.97
124,,29,,3.63,,,15,,443,30.534492209999993,0.97
128,,28,,3.62,,,15,,454,30.554737030000002,0.97
132,,28,,3.64,,,16,,462,30.59525228,0.97
136,,28,,3.57,,,16,,469,30.534457770000003,0.97
140,,28,,3.48,,,16,,480,30.364714360000004,0.97
144,,28,,3.37,,,17,,495,30.315585920000004,0.97
148,,28,,3.43,,,17,,510,30.39535789,0.97
152,,28,,3.56,,,18,,532,30.539748110000005,0.97
156,,28,,3.38,,,18,,542,30.394497509999994,0.97
160,,28,,3.21,,,19,,547,30.541811419999995,0.98
164,,28,,3.2,,,19,,556,30.52865048,0.98
168,,27,,3.18,,,20,,563,30.542304480000002,0.98
172,,28,,3.21,,,20,,583,30.60490789,0.98
176,,28,,3.26,,,21,,595,30.664141719999993,0.98
180,,27,,3.1,,,21,,602,30.761646459999998,0.99
184,,27,,3.07,,,22,,613,30.81570491,0.99
188,,27,,3.07,,,22,,625,30.879362390000004,0.99
192,,27,,3.04,,,23,,643,30.6643872,0.99
196,,27,,3.07,,,23,,652,30.722993289999998,0.99
200,,27,,2.98,,,24,,663,30.524207130000004,0.99
204,,27,,2.93,,,24,,667,30.49035711,0.99
208,,27,,2.96,,,24,,680,30.50947723,0.99
212,,27,,2.99,,,25,,694,30.599030689999996,0.99
216,,27,,3.07,,,25,,712,30.699561029999998,0.99
220,,27,,2.94,,,26,,727,30.95866411,1.0
224,,27,,3.0,,,26,,743,31.0853991,1.0
228,,27,,2.97,,,27,,751,31.043944309999997,1.0
232,,27,,3.0,,,27,,762,31.075773169999998,1.0
236,,27,,3.04,,,28,,773,31.119088520000002,1.0
240,,27,,3.03,,,28,,783,31.089453559999992,1.0
244,,27,,3.02,,,29,,797,31.002882849999995,1.0
248,,27,,3.0,,,29,,810,31.010347510000003,1.0
252,,27,,2.89,,,30,,821,30.910846229999997,1.0
256,,27,,2.95,,,30,,837,30.94108945,1.0
260,,27,,2.97,,,31,,844,31.042573870000002,1.0
264,,27,,3.0,,,31,,856,31.11539718,1.0
268,,26,,2.98,,,32,,861,31.09042494,1.0
272,,26,,2.84,,,32,,867,30.97858003,1.0
276,,26,,2.81,,,32,,876,30.953935449999996,1.0
280,,26,,2.98,,,33,,900,31.09769748,1.0
284,,27,,3.07,,,33,,920,31.142949289999997,1.0
288,,27,,3.09,,,34,,934,31.071952890000006,1.0
292,,27,,3.03,,,34,,946,31.08870416,1.0
296,,27,,3.08,,,35,,960,30.814255519999996,0.99
300,,27,,3.35,,,36,,998,30.522295139999997,0.97
