rollout/success_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,-6.4416,22,0,78,5.5,4,,,,,,,,
0.0,-3.702774625,42,0,82,5.25,8,,,,,,,,
0.0,-3.857648083333333,77,0,90,6.416666666666667,12,,,,,,,,
0.0,-4.9935080625,100,1,92,6.25,16,,,,,,,,
0.0,-6.24426455,120,1,92,6.0,20,,,,,,,,
0.0,-6.322090333333333,139,1,91,5.791666666666667,24,,,,,,,,
0.0,-5.3814648571428565,167,1,93,5.964285714285714,28,,,,,,,,
0.0,-5.78957109375,196,2,95,6.125,32,,,,,,,,
0.0,-5.263157083333334,231,2,96,6.416666666666667,36,,,,,,,,
0.0,-5.56922625,261,2,95,6.525,40,,,,,,,,
0.0,-5.68429425,279,2,93,6.340909090909091,44,,,,,,,,
0.0,-5.855199791666667,313,3,94,6.520833333333333,48,,,,,,,,
0.0,-6.0341464038461545,346,3,94,6.653846153846154,52,,,,,,,,
0.0,-6.700673000000001,373,3,94,6.660714285714286,56,,,,,,,,
0.0,-6.2550778000000005,390,4,94,6.5,60,,,,,,,,
0.0,-6.232671,408,4,93,6.375,64,,,,,,,,
0.0,-6.12593369117647,440,4,93,6.470588235294118,68,,,,,,,,
0.0,-6.218629319444444,463,4,93,6.430555555555555,72,,,,,,,,
0.0,-5.734373631578947,487,5,92,6.407894736842105,76,,,,,,,,
0.0,-6.0130873375,520,5,93,6.5,80,,,,,,,,
0.0,-5.626938392857143,541,5,92,6.440476190476191,84,,,,,,,,
0.0,-5.511977420454545,562,6,91,6.386363636363637,88,,,,,,,,
0.0,-6.087963380434783,591,6,92,6.423913043478261,92,,,,,,,,
0.0,-5.913486770833334,608,6,91,6.333333333333333,96,,,,,,,,
0.0,-5.79950117,628,6,91,6.28,100,,,,,,,,
0.0,-5.401666479999999,646,7,90,6.24,104,,,,,,,,
0.0,-5.419424879999999,666,7,90,6.24,108,,,,,,,,
0.0,-5.332174019999999,684,7,89,6.07,112,,,,,,,,
0.0,-5.296058810000001,715,7,90,6.15,116,,,,,,,,
0.0,-4.96692234,742,8,90,6.22,120,,,,,,,,
0.0,-4.749404559999999,764,8,90,6.25,124,,,,,,,,
