time/time_elapsed,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/fps,train/ent_coef,rollout/success_rate,train/actor_loss,train/critic_loss,time/episodes,train/learning_rate,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate
0,3.48763025,3000,5.5,74,0.009999999776482582,0.0,-44.54826206912349,2.6481322317123412,4,0.0003,22,,,
0,4.311297625,,5.25,84,,0.0,,,8,,42,,,
0,3.0386756666666663,,6.416666666666667,96,,0.0,,,12,,77,,,
1,2.8274447499999997,,6.25,96,,0.0,,,16,,100,,,
2,6.00924665,3092,9.65,77,0.009999999776482582,0.1,-63.50685501098633,6.642117500305176,20,0.0003,193,,,
4,2.312908708333333,3220,13.375,72,0.009999999776482582,0.08333333333333333,-64.6202621459961,8.760303497314453,24,0.0003,321,,,
6,0.08391049999999987,3348,16.035714285714285,71,0.009999999776482582,0.07142857142857142,-63.850990295410156,6.889312744140625,28,0.0003,449,,,
8,-2.6465662499999993,3476,18.03125,71,0.009999999776482582,0.0625,-64.31785583496094,2.9571726322174072,32,0.0003,577,,,
9,-5.17405186111111,3604,19.583333333333332,71,0.009999999776482582,0.05555555555555555,-65.57382202148438,5.132790565490723,36,0.0003,705,,,
11,-5.74999625,3732,20.825,70,0.009999999776482582,0.05,-64.08731842041016,4.863912105560303,40,0.0003,833,,,
13,-7.137522318181817,3860,21.84090909090909,69,0.009999999776482582,0.045454545454545456,-65.7479019165039,0.19045484066009521,44,0.0003,961,,,
21,-7.4646929375,3988,22.6875,49,0.009999999776482582,0.041666666666666664,-65.74554443359375,12.381324768066406,48,0.0003,1089,32.0,-12.24767711985203,0.0
23,-7.773062557692308,4116,23.403846153846153,50,0.009999999776482582,0.038461538461538464,-66.19198608398438,0.612957239151001,52,0.0003,1217,,,
25,-8.629635607142857,4244,24.017857142857142,51,0.009999999776482582,0.03571428571428571,-66.74273681640625,9.18637466430664,56,0.0003,1345,,,
27,-9.109484283333332,4372,24.55,52,0.009999999776482582,0.03333333333333333,-66.28352355957031,0.9300653338432312,60,0.0003,1473,,,
29,-9.249601578125,4500,25.015625,53,0.009999999776482582,0.03125,-65.47300720214844,8.026785850524902,64,0.0003,1601,,,
32,-8.36457082352941,4628,25.426470588235293,53,0.009999999776482582,0.029411764705882353,-65.52644348144531,3.498745918273926,68,0.0003,1729,,,
33,-8.073131722222222,4756,25.791666666666668,54,0.009999999776482582,0.027777777777777776,-68.92344665527344,1.0629017353057861,72,0.0003,1857,,,
35,-8.0270205,4884,26.11842105263158,55,0.009999999776482582,0.02631578947368421,-66.85935974121094,6.549647808074951,76,0.0003,1985,,,
44,-7.460407612500001,5012,26.4125,47,0.009999999776482582,0.025,-66.36235046386719,16.07324981689453,80,0.0003,2113,32.0,-10.23136480582171,0.0
46,-7.346389583333333,5140,26.678571428571427,48,0.009999999776482582,0.023809523809523808,-68.73155975341797,1.6724326610565186,84,0.0003,2241,,,
48,-7.394999477272727,5268,26.920454545454547,49,0.009999999776482582,0.022727272727272728,-67.63794708251953,4.164529323577881,88,0.0003,2369,,,
50,-7.985605054347826,5396,27.141304347826086,49,0.009999999776482582,0.021739130434782608,-67.7490234375,3.683122158050537,92,0.0003,2497,,,
52,-8.345897604166668,5524,27.34375,50,0.009999999776482582,0.020833333333333332,-68.59101867675781,9.221933364868164,96,0.0003,2625,,,
54,-8.01324421,5652,27.53,50,0.009999999776482582,0.02,-68.18937683105469,1.0579168796539307,100,0.0003,2753,,,
56,-8.61719184,5780,28.59,51,0.009999999776482582,0.02,-68.95604705810547,1.730341911315918,104,0.0003,2881,,,
64,-8.966955930000001,5908,29.67,46,0.009999999776482582,0.02,-68.05043029785156,13.418787956237793,108,0.0003,3009,32.0,-8.440255821597614,0.0
66,-9.8564419,6036,30.6,46,0.009999999776482582,0.02,-69.89385223388672,1.5975537300109863,112,0.0003,3137,,,
68,-10.402727709999999,6164,31.65,47,0.009999999776482582,0.02,-67.69548034667969,5.82042121887207,116,0.0003,3265,,,
70,-11.371230480000001,6292,32.0,47,0.009999999776482582,0.0,-69.0937271118164,16.992753982543945,120,0.0003,3393,,,
72,-10.87234126,6420,32.0,48,0.009999999776482582,0.0,-67.4100112915039,3.323403835296631,124,0.0003,3521,,,
74,-10.273109669999998,6548,32.0,48,0.009999999776482582,0.0,-69.14385986328125,1.9210469722747803,128,0.0003,3649,,,
76,-10.040676139999999,6676,32.0,49,0.009999999776482582,0.0,-69.00354766845703,0.6997476816177368,132,0.0003,3777,,,
78,-9.212023109999999,6804,32.0,49,0.009999999776482582,0.0,-68.452392578125,1.5842177867889404,136,0.0003,3905,,,
86,-8.940246789999998,6932,32.0,46,0.009999999776482582,0.0,-67.0817642211914,1.6882572174072266,140,0.0003,4033,32.0,-6.889203417364554,0.0
88,-8.92448176,7060,32.0,46,0.009999999776482582,0.0,-68.46367645263672,2.938876152038574,144,0.0003,4161,,,
90,-8.681252469999999,7188,32.0,47,0.009999999776482582,0.0,-67.89885711669922,0.798218846321106,148,0.0003,4289,,,
92,-8.36659624,7316,32.0,47,0.009999999776482582,0.0,-68.75849914550781,6.223084449768066,152,0.0003,4417,,,
95,-7.8461789799999995,7444,32.0,47,0.009999999776482582,0.0,-68.28250122070312,2.3733696937561035,156,0.0003,4545,,,
97,-7.37764377,7572,32.0,48,0.009999999776482582,0.0,-67.6591567993164,1.3944787979125977,160,0.0003,4673,,,
98,-7.193764679999998,7700,32.0,48,0.009999999776482582,0.0,-67.21762084960938,7.295344352722168,164,0.0003,4801,,,
100,-7.46640134,7828,32.0,48,0.009999999776482582,0.0,-69.00579071044922,0.7278081774711609,168,0.0003,4929,,,
109,-7.681585139999999,7956,32.0,46,0.009999999776482582,0.0,-69.67082977294922,0.5514818429946899,172,0.0003,5057,32.0,-8.52720109403181,0.0
111,-7.274625210000002,8084,32.0,46,0.009999999776482582,0.0,-68.51594543457031,1.6270478963851929,176,0.0003,5185,,,
113,-7.909415200000001,8212,32.0,46,0.009999999776482582,0.0,-68.249755859375,6.32125997543335,180,0.0003,5313,,,
115,-7.394571850000001,8340,32.0,47,0.009999999776482582,0.0,-68.080322265625,0.27689462900161743,184,0.0003,5441,,,
117,-7.45018737,8468,32.0,47,0.009999999776482582,0.0,-66.98138427734375,2.3749475479125977,188,0.0003,5569,,,
119,-6.40296599,8596,32.0,47,0.009999999776482582,0.0,-67.83305358886719,4.1569390296936035,192,0.0003,5697,,,
121,-5.43265399,8724,32.0,47,0.009999999776482582,0.0,-66.97931671142578,3.4865400791168213,196,0.0003,5825,,,
123,-5.8861462399999995,8852,32.0,48,0.009999999776482582,0.0,-68.5052261352539,1.8115317821502686,200,0.0003,5953,,,
131,-5.66749163,8980,32.0,46,0.009999999776482582,0.0,-67.24281311035156,3.9762496948242188,204,0.0003,6081,32.0,-6.140480165815727,0.0
133,-5.467355920000001,9108,32.0,46,0.009999999776482582,0.0,-67.07418060302734,4.964090347290039,208,0.0003,6209,,,
135,-4.693121460000001,9236,32.0,46,0.009999999776482582,0.0,-67.54991149902344,2.1902003288269043,212,0.0003,6337,,,
137,-3.90529408,9364,32.0,47,0.009999999776482582,0.0,-66.07840728759766,3.073646068572998,216,0.0003,6465,,,
139,-3.4781036899999997,9492,32.0,47,0.009999999776482582,0.0,-65.62410736083984,2.6130449771881104,220,0.0003,6593,,,
140,-3.2495649400000004,9620,32.0,47,0.009999999776482582,0.0,-67.85252380371094,1.7835464477539062,224,0.0003,6721,,,
142,-3.81361972,9748,32.0,47,0.009999999776482582,0.0,-65.71746826171875,4.511466026306152,228,0.0003,6849,,,
144,-3.0112849800000006,9876,32.0,48,0.009999999776482582,0.0,-64.67188262939453,1.2718080282211304,232,0.0003,6977,,,
153,-3.3125250399999993,10004,32.0,46,0.009999999776482582,0.0,-67.25059509277344,2.331634998321533,236,0.0003,7105,32.0,-10.301500338635991,0.0
155,-3.42068442,10132,32.0,46,0.009999999776482582,0.0,-67.52698516845703,2.683385133743286,240,0.0003,7233,,,
157,-2.9779097500000002,10260,32.0,46,0.009999999776482582,0.0,-68.59991455078125,0.42026227712631226,244,0.0003,7361,,,
159,-3.2003495400000004,10388,32.0,46,0.009999999776482582,0.0,-68.79766082763672,2.7373313903808594,248,0.0003,7489,,,
